ProjectNumber,FacilityName,City,County,TypeOfWork,EstimatedCost,ProjectStatus,ProjectId,DataVersionId,ProjectName,ProjectCreatedOn,EstimatedStartDate,EstimatedEndDate,URL
TABS2026022302,Smoothie King,49,2043,9002,425000.0,3008,ac8ef40f-6275-40fc-afb0-86a798769eb7,900001,"SK Anna, TX",2026-06-08T15:22:34.823,2026-11-15T00:00:00,2027-01-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022302
TABS2026022289,One Legacy Circle,1362,2043,9002,120000.0,3008,d405d241-020d-4678-8857-f7e2d7116d3c,900001,Bread Financial,2026-06-08T14:05:37.34,2026-06-01T00:00:00,2026-06-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022289
TABS2026022281,Chick-fil-A,1107,2043,9002,375000.0,3008,102ac4e8-c96c-4ce9-9363-f9b928cae73c,900001,Chick-fil-A #4620 Lake Forest Dr & Hwy 380,2026-06-08T12:50:51.74,2026-11-13T00:00:00,2026-11-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022281
TABS2026022273,32912 7-Eleven,1362,2043,9002,425000.0,3008,71c0c831-3937-4270-843e-e3819c920dcb,900001,32912 7-Eleven Rev1,2026-06-08T12:20:50.413,2026-08-01T00:00:00,2026-12-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022273
TABS2026022270,29234 7-Eleven,1362,2043,9002,425000.0,3008,89803c41-b2bf-4020-8597-911d4c1b85b9,900001,29234 7-Eleven Rev1,2026-06-08T12:15:57.027,2026-08-01T00:00:00,2026-12-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022270
TABS2026022269,30418 7-Eleven,1362,2043,9002,425000.0,3008,3f5bccd6-18fc-4087-b2e2-0b4f5307fad7,900001,30418 7-Eleven Rev1,2026-06-08T12:11:04.527,2026-08-01T00:00:00,2026-12-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022269
TABS2026022266,32329 7-Eleven,1362,2043,9002,425000.0,3008,7d32e804-9ce6-4c03-bf63-b776167897a9,900001,32329 7-Eleven Rev1,2026-06-08T11:59:17.297,2026-08-01T00:00:00,2026-12-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022266
TABS2026022264,35380 7-Eleven,1362,2043,9002,567000.0,3009,9fa5f5f7-1e7a-477d-a6b1-42537791af07,900001,35380 7-Eleven Rev1,2026-06-08T11:53:25.717,2026-08-01T00:00:00,2026-12-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022264
TABS2026022240,Celina Hills Plaza,286,2043,9002,900000.0,3008,066edaa3-33af-446d-abfc-bea9e64c193c,900001,Articella Primary Care,2026-06-08T09:03:11.657,2026-07-05T00:00:00,2027-01-05T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022240
TABS2026022239,Crunch Fitness,1107,2043,9002,1500000.0,3008,f116e3a1-2669-4f0e-932e-c909125ee8aa,900001,Crunch Fitness - McKinney,2026-06-08T08:52:48.613,2026-06-15T00:00:00,2027-04-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022239
