ProjectId,ProjectNumber,ProjectName,ProjectCreatedOn,ProjectStatus,FacilityName,City,County,TypeOfWork,EstimatedCost,DataVersionId,EstimatedStartDate,EstimatedEndDate,URL
ccb2e8bf-40d1-4a54-bf21-463220066bac,TABS2026012171,Whitlock Ph 3,2026-02-10T11:38:44.743,3008,Whitlock Ph 3,269,2057,9002,1000000.0,900001,2026-04-13T00:00:00,2027-10-25T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012171
78212dbb-efa9-49ce-aa15-8bad68bdad32,TABS2026012158,14th Floor Corridor,2026-02-10T11:01:02.317,3008,Williams Square,821,2057,9002,155000.0,900001,2026-02-20T00:00:00,2026-04-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012158
4a878a31-d82d-46f8-b36c-610dc4b90b0f,TABS2026012155,Toastique Park Lane,2026-02-10T10:45:03.253,3008,Park Lane Building 8060,415,2057,9002,280000.0,900001,2026-02-16T00:00:00,2026-04-24T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012155
112b1717-5527-4e50-9d77-cc0d29f2e291,TABS2026012149,Campfire Shops-1055 S. Sherman,2026-02-10T10:19:29.587,3008,AI Ameer Plaza,1453,2057,9002,55000.0,900001,2026-02-01T00:00:00,2026-08-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012149
31182f1d-db41-4920-bdcb-0b47872bed4f,TABS2026012107,1ST AND 2ND FLOOR WHITEBOX,2026-02-09T17:08:10.423,3008,3515 SWISS AVE,415,2057,9002,200000.0,900001,2026-02-09T00:00:00,2026-05-09T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012107
4829a623-9ebd-4119-a2f1-c4bd8f218f0c,TABS2026012104,Sargent Investments,2026-02-09T16:41:46.853,3008,Sargent Investments - Building A,686,2057,9001,735000.0,900001,2026-04-20T00:00:00,2026-10-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012104
1090ef19-1dda-409c-af40-d71a2bf784f7,TABS2026012096,"Beach Club Car Wash - Garland, TX",2026-02-09T15:59:30.23,3008,Beach Club Car Wash,641,2057,9001,1300000.0,900001,2026-04-01T00:00:00,2026-08-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012096
b0394f1c-801f-4f9e-8fd4-6119c26f22ec,TABS2026012073,Gastroenterology Office - Ground Floor,2026-02-09T14:17:00.983,3009,Parkridge Plaza LLC,821,2057,9002,225000.0,900001,2026-03-01T00:00:00,2026-06-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012073
e9e0003c-1ace-49a5-ba7b-018fd0273191,TABS2026012054,Anthony Properties,2026-02-09T12:28:37.357,3008,Walnut Glen Tower,415,2057,9002,350000.0,900001,2026-02-16T00:00:00,2026-05-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012054
ffd559d4-7e18-4694-9b60-c95d494157f8,TABS2026012047,Indo Pak Garland,2026-02-09T11:47:52.34,3009,EPIC Business LLC,641,2057,9002,250000.0,900001,2026-02-15T00:00:00,2026-06-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012047
5f28e6fa-f6bf-4dea-92ac-37d2ef518558,TABS2026012045,Mirasol Park Lane – Renovations,2026-02-09T11:40:00.81,3008,Mirasol Park Lane,415,2057,9002,2500000.0,900001,2026-04-01T00:00:00,2026-08-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012045
a5fe1bf3-bc39-4afe-8548-833f755c08ad,TABS2026012043,H&W GLOWING SPA,2026-02-09T11:37:13.6,3008,H&W GLOWING SPA,641,2057,9002,147000.0,900001,2026-04-15T00:00:00,2026-08-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012043
ffa56dd1-ff5f-46d9-bc1e-a529aafbb2ec,TABS2026012021,South Garland High School Renovations,2026-02-09T10:07:32.653,3008,South Garland High School,641,2057,9002,27000000.0,900001,2026-06-01T00:00:00,2027-12-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012021
7a37cc74-ecfe-4094-9af9-678f5b630d4f,TABS2026012015,North Garland High School Renovations,2026-02-09T09:51:11.773,3008,North Garland High School,641,2057,9002,19000000.0,900001,2026-06-01T00:00:00,2027-12-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026012015
cf175b3e-2a35-40d4-8a36-1fd5ae808a5b,TABS2026011991,BHANZU,2026-02-08T21:23:25.5,3009,VILLAGE AT VALLEY RANCH,821,2057,9002,200000.0,900001,2026-02-15T00:00:00,2026-04-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026011991
